Zeit	KanalA	KanalB
12.39999992	232.33740000	232.20010000
12.47999992	232.33740000	232.20010000
12.55999992	227.88170000	227.74440000
12.63999992	232.33740000	232.20010000
12.71999992	227.88170000	232.20010000
12.79999992	227.88170000	232.20010000
12.87999992	227.88170000	232.20010000
12.95999992	227.88170000	232.20010000
13.03999992	227.88170000	227.74440000
13.11999992	227.88170000	227.74440000
13.19999992	227.88170000	227.74440000
13.27999992	232.33740000	232.20010000
13.35999992	232.33740000	232.20010000
13.43999992	227.88170000	232.20010000
13.51999992	227.88170000	227.74440000
13.59999992	227.88170000	232.20010000
13.67999992	232.33740000	232.20010000
13.75999992	232.33740000	232.20010000
13.83999992	232.33740000	232.20010000
13.91999992	227.88170000	232.20010000
13.99999991	227.88170000	232.20010000
14.07999991	227.88170000	232.20010000
14.15999991	227.88170000	227.74440000
14.23999991	227.88170000	232.20010000
14.31999991	227.88170000	232.20010000
14.39999991	232.33740000	232.20010000
14.47999991	227.88170000	232.20010000
14.55999991	227.88170000	232.20010000
14.63999991	232.33740000	232.20010000
14.71999991	227.88170000	227.74440000
14.79999991	227.88170000	232.20010000
14.87999991	227.88170000	227.74440000
14.95999991	227.88170000	232.20010000
15.03999991	227.88170000	232.20010000
15.11999991	227.88170000	232.20010000
15.19999991	227.88170000	232.20010000
15.27999991	227.88170000	232.20010000
15.35999991	227.88170000	232.20010000
15.43999991	227.88170000	232.20010000
15.51999991	227.88170000	232.20010000
15.59999991	227.88170000	232.20010000
15.67999990	227.88170000	232.20010000
15.75999990	227.88170000	232.20010000
15.83999990	227.88170000	232.20010000
15.91999990	227.88170000	232.20010000
15.99999990	227.88170000	227.74440000
16.07999990	227.88170000	232.20010000
16.15999990	227.88170000	232.20010000
16.23999990	232.33740000	232.20010000
16.31999990	227.88170000	232.20010000
16.39999990	232.33740000	232.20010000
16.47999990	227.88170000	227.74440000
16.55999990	227.88170000	232.20010000
16.63999990	232.33740000	227.74440000
16.71999990	227.88170000	227.74440000
16.79999990	232.33740000	232.20010000
16.87999990	223.41070000	227.74440000
16.95999990	227.88170000	227.74440000
17.03999990	227.88170000	227.74440000
17.11999990	227.88170000	227.74440000
17.19999990	227.88170000	227.74440000
17.27999989	227.88170000	227.74440000
17.35999989	227.88170000	227.74440000
17.43999989	227.88170000	227.74440000
17.51999989	227.88170000	227.74440000
17.59999989	236.79310000	241.12670000
17.67999989	250.16020000	250.05340000
17.75999989	245.70450000	250.05340000
17.83999989	245.70450000	245.59770000
17.91999989	227.88170000	227.74440000
17.99999989	223.41070000	227.74440000
18.07999989	227.88170000	227.74440000
18.15999989	227.88170000	227.74440000
18.23999989	232.33740000	236.67100000
18.31999989	236.79310000	236.67100000
18.39999989	227.88170000	227.74440000
18.47999989	227.88170000	227.74440000
18.55999989	227.88170000	227.74440000
18.63999989	232.33740000	236.67100000
18.71999989	236.79310000	236.67100000
18.79999989	232.33740000	232.20010000
18.87999989	227.88170000	227.74440000
18.95999988	227.88170000	227.74440000
19.03999988	232.33740000	232.20010000
19.11999988	232.33740000	232.20010000
19.19999988	227.88170000	232.20010000
19.27999988	227.88170000	227.74440000
19.35999988	227.88170000	227.74440000
19.43999988	232.33740000	232.20010000
19.51999988	232.33740000	232.20010000
19.59999988	232.33740000	232.20010000
19.67999988	227.88170000	232.20010000
19.75999988	232.33740000	232.20010000
19.83999988	227.88170000	227.74440000
19.91999988	232.33740000	232.20010000
19.99999988	227.88170000	227.74440000
20.07999988	227.88170000	227.74440000
20.15999988	227.88170000	227.74440000
20.23999988	227.88170000	227.74440000
20.31999988	232.33740000	232.20010000
20.39999988	232.33740000	232.20010000
20.47999988	227.88170000	232.20010000
20.55999988	227.88170000	232.20010000
20.63999987	227.88170000	227.74440000
20.71999987	232.33740000	232.20010000
20.79999987	232.33740000	232.20010000
20.87999987	232.33740000	232.20010000
20.95999987	227.88170000	227.74440000
21.03999987	227.88170000	227.74440000
21.11999987	227.88170000	232.20010000
21.19999987	227.88170000	232.20010000
21.27999987	227.88170000	232.20010000
21.35999987	227.88170000	232.20010000
21.43999987	227.88170000	232.20010000
21.51999987	227.88170000	232.20010000
21.59999987	227.88170000	227.74440000
21.67999987	227.88170000	227.74440000
21.75999987	227.88170000	232.20010000
21.83999987	232.33740000	232.20010000
21.91999987	232.33740000	232.20010000
21.99999987	232.33740000	236.67100000
22.07999987	232.33740000	232.20010000
22.15999987	232.33740000	232.20010000
22.23999986	232.33740000	232.20010000
22.31999986	232.33740000	232.20010000
22.39999986	227.88170000	227.74440000
22.47999986	227.88170000	227.74440000
22.55999986	227.88170000	227.74440000
22.63999986	227.88170000	227.74440000
22.71999986	227.88170000	227.74440000
22.79999986	227.88170000	232.20010000
22.87999986	227.88170000	227.74440000
22.95999986	232.33740000	232.20010000
23.03999986	232.33740000	227.74440000
23.11999986	232.33740000	232.20010000
23.19999986	232.33740000	232.20010000
23.27999986	232.33740000	232.20010000
23.35999986	227.88170000	232.20010000
23.43999986	227.88170000	227.74440000
23.51999986	232.33740000	232.20010000
23.59999986	227.88170000	227.74440000
23.67999986	227.88170000	232.20010000
23.75999986	227.88170000	232.20010000
23.83999986	227.88170000	227.74440000
23.91999985	227.88170000	232.20010000
23.99999985	232.33740000	232.20010000
24.07999985	232.33740000	227.74440000
24.15999985	227.88170000	232.20010000
24.23999985	232.33740000	232.20010000
24.31999985	232.33740000	232.20010000
24.39999985	232.33740000	232.20010000
24.47999985	227.88170000	232.20010000
24.55999985	232.33740000	232.20010000
24.63999985	227.88170000	232.20010000
24.71999985	227.88170000	227.74440000
24.79999985	227.88170000	227.74440000
24.87999985	227.88170000	227.74440000
24.95999985	227.88170000	227.74440000
25.03999985	227.88170000	232.20010000
25.11999985	227.88170000	227.74440000
25.19999985	227.88170000	227.74440000
25.27999985	227.88170000	232.20010000
25.35999985	232.33740000	232.20010000
25.43999985	232.33740000	232.20010000
25.51999984	227.88170000	232.20010000
25.59999984	227.88170000	227.74440000
25.67999984	232.33740000	232.20010000
25.75999984	232.33740000	227.74440000
25.83999984	232.33740000	227.74440000
25.91999984	227.88170000	232.20010000
25.99999984	227.88170000	232.20010000
26.07999984	232.33740000	232.20010000
26.15999984	227.88170000	227.74440000
26.23999984	232.33740000	232.20010000
26.31999984	227.88170000	232.20010000
26.39999984	227.88170000	232.20010000
26.47999984	232.33740000	232.20010000
26.55999984	227.88170000	232.20010000
26.63999984	227.88170000	232.20010000
26.71999984	232.33740000	232.20010000
26.79999984	227.88170000	232.20010000
26.87999984	227.88170000	227.74440000
26.95999984	232.33740000	232.20010000
27.03999984	227.88170000	232.20010000
27.11999984	227.88170000	232.20010000
27.19999983	227.88170000	227.74440000
27.27999983	227.88170000	232.20010000
27.35999983	227.88170000	232.20010000
27.43999983	232.33740000	232.20010000
27.51999983	232.33740000	232.20010000
27.59999983	227.88170000	232.20010000
27.67999983	232.33740000	232.20010000
27.75999983	232.33740000	232.20010000
27.83999983	227.88170000	227.74440000
27.91999983	227.88170000	227.74440000
27.99999983	227.88170000	227.74440000
28.07999983	227.88170000	227.74440000
28.15999983	227.88170000	227.74440000
28.23999983	227.88170000	227.74440000
28.31999983	227.88170000	227.74440000
28.39999983	227.88170000	227.74440000
28.47999983	223.41070000	227.74440000
28.55999983	227.88170000	227.74440000
28.63999983	227.88170000	227.74440000
28.71999983	227.88170000	227.74440000
28.79999982	227.88170000	227.74440000
28.87999982	227.88170000	227.74440000
28.95999982	227.88170000	227.74440000
29.03999982	227.88170000	227.74440000
29.11999982	227.88170000	227.74440000
29.19999982	227.88170000	227.74440000
29.27999982	227.88170000	227.74440000
